(-24.890777067199274, 2.1749222680077036, 93.27999949455261, 39)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-4.484403874589989, 15.79290060181692, 75.25999546051025, 69)
(-4.530284858738202, 15.95448145903454, 76.02999806404114, 71)
(-4.5612694840357095, 16.063601226386627, 76.5500009059906, 70)
(19.26458582976939, -4.746347233421444, 107.77000188827515, 70)
(19.078755502256087, -4.769688875564022, 108.29999446868896, 70)
(19.078755502256087, -4.769688875564022, 108.29999446868896, 70)
(-43.60919449613502, -1.4143522539287035, 90.98999500274658, 66)
(-44.389428962697636, -1.431917063312827, 92.11999773979187, 111)
(-44.389428962697636, -1.431917063312827, 92.11999773979187, 112)
(-44.20632136300438, -1.4260103665485284, 91.74000024795532, 112)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
(-1, -1, -1, -1)
